"name","rank_proj","bye"
"Rob Gronkowski / NE / TE","31","9"
"Travis Kelce / KC / TE","33","10"
"Greg Olsen / Car / TE","46","11"
"Jordan Reed / Was / TE","50","5"
"Jimmy Graham / Sea / TE","58","6"
"Delanie Walker / Ten / TE","78","8"
"Tyler Eifert / Cin / TE","86","6"
"Kyle Rudolph / Min / TE","90","9"
"Martellus Bennett / GB / TE","92","8"
"Zach Ertz / Phi / TE","97","10"
"Jack Doyle / Ind / TE","101","11"
"Hunter Henry / LAC / TE","108","9"
"Eric Ebron / Det / TE","118","7"
"Antonio Gates / LAC / TE","136","9"
"Cameron Brate / TB / TE","142","11"
"C.J. Fiedorowicz / Hou / TE","144","7"
"Jason Witten / Dal / TE","147","6"
"Austin Hooper / Atl / TE","150","5"
"Julius Thomas / Mia / TE","156","11"
"Coby Fleener / NO / TE","158","5"
"David Njoku / Cle / TE","167","9"
"Zach Miller / Chi / TE","183","9"
"Jared Cook / Oak / TE","193","10"
"O.J. Howard / TB / TE","208","11"
"Charles Clay / Buf / TE","229","6"
"Evan Engram / NYG / TE","233","8"
"Jesse James / Pit / TE","237","9"
"Dwayne Allen / NE / TE","251","9"
"A.J. Derby / Den / TE","255","5"
"Austin Seferian-Jenkins / NYJ / TE","256","11"
"Tyler Higbee / LAR / TE","265","8"
"Lance Kendricks / GB / TE","271","8"
"Ladarius Green / Pit / TE","276","9"
"Vance McDonald / SF / TE","277","11"
"Gary Barnidge / Cle / TE","278","9"
"Jacob Tamme / Atl / TE","284","5"
"Dennis Pitta / Bal / TE","287","10"
"Vernon Davis / Was / TE","289","5"
"Garrett Celek / SF / TE","298","11"
"Clive Walford / Oak / TE","300","10"
"Ryan Griffin / Hou / TE","302","7"
"Crockett Gillmore / Bal / TE","1862","10"
"Richard Rodgers / GB / TE","1868","8"
"Dion Sims / Chi / TE","1871","9"
"C.J. Uzomah / Cin / TE","1872","6"
"Will Tye / NYG / TE","1879","8"
"Benjamin Watson / Bal / TE","1888","10"
"Jermaine Gresham / Ari / TE","1892","8"
"Seth DeValve / Cle / TE","1896","9"
"Darren Fells / Det / TE","1901","7"
"Daniel Brown / Chi / TE","1903","9"
"Erik Swoope / Ind / TE","1904","11"
"Xavier Grimble / Pit / TE","1905","9"
"Virgil Green / Den / TE","1907","5"
"Larry Donnell / NYG / TE","1910","8"
"Mychal Rivera / Jax / TE","1913","8"
"Levine Toilolo / Atl / TE","1914","5"
"Josh Hill / NO / TE","1915","5"
"Luke Willson / Sea / TE","1916","6"
"Trey Burton / Phi / TE","1922","10"
"Jeff Heuerman / Den / TE","1924","5"
"Anthony Fasano / Mia / TE","1927","11"
"Brent Celek / Phi / TE","1928","10"
"Troy Niklas / Ari / TE","1933","8"
"Ben Koyack / Jax / TE","1934","8"
"Marcedes Lewis / Jax / TE","1935","8"
"Tim Wright / Det / TE","1936","7"
"Maxx Williams / Bal / TE","1937","10"
"Clay Harbor / NO / TE","1941","5"
"Michael Hoomanawanui / NO / TE","1945","5"
"Joshua Perkins / Atl / TE","1946","5"
"Jerell Adams / NYG / TE","1948","8"
"Chris Gragg / Buf / TE","1951","6"
"Jeremy Sprinkle / Was / TE","1953","5"
"Kivon Cartwright / TB / TE","1954","11"
"D.J. Tialavea / Atl / TE","1955","5"
"Ryan Malleck / Bal / TE","1956","10"
"Jake Butt / Den / TE","1957","5"
"Franko House / Chi / TE","1958","9"
"Orson Charles / KC / TE","1959","10"
"Josiah Price / Min / TE","1960","9"
"Tevin Westbrook / TB / TE","1961","11"
"George Kittle / SF / TE","1962","11"
"Mo Alie-Cox / Ind / TE","1963","11"
"Phazahn Odom / Pit / TE","1964","9"
"Marcus Lucas / Sea / TE","1965","6"
"Pharaoh Brown / Oak / TE","1966","10"
"Darrell Daniels / Ind / TE","1967","11"
"Kennard Backman / Det / TE","1968","7"
"Tim Semisch / Ten / TE","1969","8"
"Jordan Leggett / NYJ / TE","1970","11"
"Caleb Bluiett / Jax / TE","1971","8"
"Eric Tomlinson / NYJ / TE","1972","11"
"Colin Jeter / Ind / TE","1973","11"
"Wyatt Houston / Car / TE","1974","11"
"J.P. Holtz / Cle / TE","1975","9"
"Henry Krieger-Coble / Den / TE","1976","5"
"Brandon Barnes / Det / TE","1977","7"
"Blake Annen / Buf / TE","1978","6"
"Cethan Carter / Cin / TE","1979","6"
